SKU,Type,Parent SKU,Name,Attribute:Color,Attribute:Color Visible,Attribute:Color Global,Images,Image Alt Text,HEX,Description
ak-1247,variation,kosbud,AK 1247,AK 1247,1,1,colors/ak-1247.png,AK 1247 – #d2cec7 swatch,#d2cec7,"Колір AK 1247, HEX #d2cec7"
ak-1248,variation,kosbud,AK 1248,AK 1248,1,1,colors/ak-1248.png,AK 1248 – #c1bdba swatch,#c1bdba,"Колір AK 1248, HEX #c1bdba"
ak-1249,variation,kosbud,AK 1249,AK 1249,1,1,colors/ak-1249.png,AK 1249 – #adaeaa swatch,#adaeaa,"Колір AK 1249, HEX #adaeaa"
ak-1250,variation,kosbud,AK 1250,AK 1250,1,1,colors/ak-1250.png,AK 1250 – #9fa09e swatch,#9fa09e,"Колір AK 1250, HEX #9fa09e"
ak-1251,variation,kosbud,AK 1251,AK 1251,1,1,colors/ak-1251.png,AK 1251 – #ddd5d1 swatch,#ddd5d1,"Колір AK 1251, HEX #ddd5d1"
ak-1252,variation,kosbud,AK 1252,AK 1252,1,1,colors/ak-1252.png,AK 1252 – #ccc4c0 swatch,#ccc4c0,"Колір AK 1252, HEX #ccc4c0"
ak-1253,variation,kosbud,AK 1253,AK 1253,1,1,colors/ak-1253.png,AK 1253 – #bebab7 swatch,#bebab7,"Колір AK 1253, HEX #bebab7"
ak-1254,variation,kosbud,AK 1254,AK 1254,1,1,colors/ak-1254.png,AK 1254 – #b5b2b1 swatch,#b5b2b1,"Колір AK 1254, HEX #b5b2b1"
ak-1255,variation,kosbud,AK 1255,AK 1255,1,1,colors/ak-1255.png,AK 1255 – #9f9d9a swatch,#9f9d9a,"Колір AK 1255, HEX #9f9d9a"
ak-1256,variation,kosbud,AK 1256,AK 1256,1,1,colors/ak-1256.png,AK 1256 – #d7d0cd swatch,#d7d0cd,"Колір AK 1256, HEX #d7d0cd"
ak-1257,variation,kosbud,AK 1257,AK 1257,1,1,colors/ak-1257.png,AK 1257 – #d2cac6 swatch,#d2cac6,"Колір AK 1257, HEX #d2cac6"
ak-1258,variation,kosbud,AK 1258,AK 1258,1,1,colors/ak-1258.png,AK 1258 – #c1bdb6 swatch,#c1bdb6,"Колір AK 1258, HEX #c1bdb6"
ak-1259,variation,kosbud,AK 1259,AK 1259,1,1,colors/ak-1259.png,AK 1259 – #b2aca8 swatch,#b2aca8,"Колір AK 1259, HEX #b2aca8"
ak-1261,variation,kosbud,AK 1261,AK 1261,1,1,colors/ak-1261.png,AK 1261 – #e9e0da swatch,#e9e0da,"Колір AK 1261, HEX #e9e0da"
ak-1262,variation,kosbud,AK 1262,AK 1262,1,1,colors/ak-1262.png,AK 1262 – #d3cec3 swatch,#d3cec3,"Колір AK 1262, HEX #d3cec3"
ak-1263,variation,kosbud,AK 1263,AK 1263,1,1,colors/ak-1263.png,AK 1263 – #cfc4bb swatch,#cfc4bb,"Колір AK 1263, HEX #cfc4bb"
ak-1264,variation,kosbud,AK 1264,AK 1264,1,1,colors/ak-1264.png,AK 1264 – #bcaea2 swatch,#bcaea2,"Колір AK 1264, HEX #bcaea2"
ak-1265,variation,kosbud,AK 1265,AK 1265,1,1,colors/ak-1265.png,AK 1265 – #a99b8d swatch,#a99b8d,"Колір AK 1265, HEX #a99b8d"
